;publico;renda;ano_cinematografico;tempo_exibicao2;internacional_nacional_Nacional;genero_Animação;genero_Documentário;genero_Ficção;genero_Não Classificada;genero_Vídeomusical;distribuidoras2_major;distribuidoras2_media;distribuidoras2_menores;log_renda
1663;26223;466998.62;2017;36;0;0;0;1;0;0;0;1;0;13.054081581614549
1664;26087;286019.28;2013;180;0;0;0;1;0;0;0;0;1;12.563814500117276
1665;26086;245193.25;2010;84;0;0;0;1;0;0;0;0;1;12.409801954117151
1666;25999;327317.11;2014;54;1;0;0;1;0;0;0;0;1;12.698684735322125
1667;25997;499004.1;2017;42;0;0;0;1;0;0;0;1;0;13.120369591132766
1668;25936;372720.93;2014;66;1;0;0;1;0;0;0;1;0;12.828585241658203
1669;25913;374515.49;2017;126;0;0;0;1;0;0;0;0;1;12.833388442899789
1670;25895;241385.46;2010;90;0;0;0;1;0;0;0;1;0;12.394150353851433
1671;25816;303608.0;2016;72;1;0;0;1;0;0;1;0;0;12.623492674617578
1672;25758;237534.02;2012;180;0;1;0;0;0;0;0;1;0;12.378066134303925
1673;25720;361769.51;2017;66;0;0;0;1;0;0;0;0;1;12.798762575313107
1674;25480;342371.81;2014;101;0;0;0;1;0;0;0;0;1;12.743652589252896
1675;25479;179521.29;2011;192;1;0;0;1;0;0;0;0;1;12.098049087119527
1676;25378;392861.49;2017;84;0;0;0;1;0;0;0;0;1;12.881212385980765
1677;25343;246472.78;2015;258;0;0;0;1;0;0;0;1;0;12.415006840403997
1678;25273;351431.01;2015;114;0;0;0;1;0;0;0;0;1;12.769768697853548
1679;25114;343531.34;2017;156;0;0;1;0;0;0;0;0;1;12.74703362374614
1680;25100;338106.84;2016;120;0;0;0;1;0;0;0;0;1;12.731117219192315
1681;25088;316108.79;2014;114;1;0;0;1;0;0;0;0;1;12.663841705472889
1682;25085;262474.4;2013;138;1;0;1;0;0;0;0;0;1;12.477908832448536
1683;25045;321910.34;2012;66;0;0;0;1;0;0;0;1;0;12.682028338547955
1684;24971;254802.99;2011;84;1;0;1;0;0;0;0;0;1;12.448245937305172
1685;24934;587213.0;2016;6;0;1;0;0;0;0;1;0;0;13.283142895001957
1686;24861;302179.18;2013;90;0;0;0;1;0;0;0;0;1;12.618775431675749
1687;24847;302448.45;2014;72;0;0;0;1;0;0;0;1;0;12.619666128707909
1688;24832;358359.07;2016;24;1;1;0;0;0;0;0;0;1;12.789290751552437
1689;24778;251213.0;2013;48;0;0;0;1;0;0;1;0;0;12.434056463829469
1690;24737;422643.08;2016;42;0;0;0;1;0;0;0;1;0;12.954283319337671
1691;24693;159035.5;2009;120;1;0;0;1;0;0;0;0;1;11.976882726721485
